               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1203,            0.040037,                   0,            0.012646,             0.64706,            0.022452,           0.0047957,             0.13564,            0.022676,                   0,                 0.1,                   0,                   0
                   1,             0.12025,            0.043554,                   0,            0.013699,             0.52941,            0.016119,           0.0035354,             0.13458,            0.022751,                   0,              0.0991,          9.9967e-05,          9.9967e-05
                   2,             0.12124,            0.042888,                   0,            0.012458,             0.52941,            0.016817,           0.0037697,              0.1342,            0.022116,                   0,              0.0982,          0.00019987,          0.00019987
                   3,             0.12367,            0.039054,                   0,            0.011341,             0.52941,            0.020153,           0.0041197,             0.13346,            0.021431,                   0,              0.0973,           0.0002997,           0.0002997
                   4,             0.11908,            0.038245,                   0,           0.0094176,             0.52941,            0.020563,           0.0042951,              0.1321,            0.020716,                   0,            0.096399,          0.00039947,          0.00039947
                   5,             0.11494,            0.040156,                   0,           0.0065326,             0.58824,            0.020686,           0.0046552,              0.1301,             0.02002,                   0,            0.095499,          0.00049917,          0.00049917
                   6,             0.11323,            0.044667,                   0,           0.0096109,             0.58824,            0.024247,             0.00483,             0.12672,              0.0193,                   0,            0.094599,          0.00059881,          0.00059881
                   7,             0.11369,            0.036962,                   0,            0.010744,             0.64706,            0.033116,           0.0061496,             0.11757,            0.018823,                   0,            0.093698,          0.00069838,          0.00069838
                   8,             0.10384,            0.044899,                   0,            0.015238,             0.64706,            0.037449,            0.007864,             0.10857,            0.018442,                   0,            0.092798,          0.00079789,          0.00079789
                   9,             0.10167,            0.040475,                   0,            0.032034,             0.64706,            0.053523,            0.010637,            0.097904,            0.018192,                   0,            0.091897,          0.00089733,          0.00089733
                  10,            0.097894,            0.044541,                   0,            0.075786,             0.58824,             0.07053,            0.016481,             0.09698,             0.01763,                   0,            0.090997,           0.0009967,           0.0009967
                  11,             0.10026,            0.045074,                   0,             0.15187,             0.47059,             0.10814,              0.0268,            0.095666,            0.017004,                   0,            0.090096,            0.001096,            0.001096
                  12,            0.097346,            0.043464,                   0,             0.23951,             0.35294,             0.16637,            0.058045,            0.092341,            0.016672,                   0,            0.089195,           0.0011952,           0.0011952
                  13,            0.094496,            0.047794,                   0,             0.31955,             0.41176,             0.30131,            0.086191,            0.089035,            0.016151,                   0,            0.088294,           0.0012944,           0.0012944
                  14,            0.091646,            0.039786,                   0,             0.46142,             0.45429,             0.32241,             0.10805,              0.0828,            0.015728,                   0,            0.087394,           0.0013935,           0.0013935
                  15,            0.086467,            0.044699,                   0,             0.43081,             0.47059,             0.37731,             0.13378,            0.079856,            0.015117,                   0,            0.086493,           0.0014926,           0.0014926
                  16,            0.081325,            0.037693,                   0,             0.42437,             0.47059,             0.45329,             0.18094,            0.075687,            0.014646,                   0,            0.085592,           0.0015916,           0.0015916
                  17,            0.079418,            0.043543,                   0,             0.44898,             0.58824,             0.48094,              0.1566,            0.076578,            0.013986,                   0,             0.08469,           0.0016905,           0.0016905
                  18,            0.079558,            0.034681,                   0,              0.3955,             0.70588,             0.54349,             0.19644,            0.073754,             0.01371,                   0,            0.083789,           0.0017893,           0.0017893
                  19,            0.073616,             0.04049,                   0,             0.38795,             0.76471,             0.50563,             0.18128,            0.072242,            0.013534,                   0,            0.082888,           0.0018881,           0.0018881
                  20,            0.072542,            0.042719,                   0,             0.44227,             0.76471,             0.65967,               0.258,              0.0695,            0.013931,                   0,            0.081987,           0.0019868,           0.0019868
                  21,            0.071445,            0.047098,                   0,             0.61747,             0.57051,             0.56769,             0.26585,            0.068777,            0.014407,                   0,            0.081085,           0.0020854,           0.0020854
                  22,            0.068986,            0.044963,                   0,             0.77708,             0.61625,             0.72553,              0.2516,            0.060939,            0.015316,                   0,            0.080184,            0.002184,            0.002184
                  23,             0.06767,             0.03876,                   0,             0.63983,             0.64706,             0.75996,             0.37523,            0.058198,            0.015934,                   0,            0.079283,           0.0022825,           0.0022825
                  24,            0.063362,            0.038843,                   0,             0.39686,             0.82353,             0.52597,             0.21275,            0.061954,            0.016797,                   0,            0.078381,            0.002381,            0.002381
                  25,            0.065944,            0.031564,                   0,             0.50676,             0.70588,             0.73133,             0.21808,            0.066213,            0.017266,                   0,            0.077479,           0.0024794,           0.0024794
                  26,            0.065033,            0.058967,                   0,             0.66889,             0.76471,             0.77312,             0.38707,            0.062639,            0.016447,                   0,            0.076578,           0.0025777,           0.0025777
                  27,            0.063144,            0.034398,                   0,             0.67777,             0.76471,             0.77679,             0.39981,            0.061863,            0.015818,                   0,            0.075676,           0.0026759,           0.0026759
                  28,            0.066088,            0.037285,                   0,             0.77462,             0.76471,             0.75442,             0.38294,            0.056866,             0.01556,                   0,            0.074774,           0.0027741,           0.0027741
                  29,            0.060841,             0.03458,                   0,             0.58096,             0.70588,             0.71733,             0.33846,            0.056371,            0.015764,                   0,            0.073872,           0.0028722,           0.0028722
                  30,            0.059768,            0.036842,                   0,             0.68563,             0.76999,             0.80809,             0.42474,            0.059897,            0.015416,                   0,             0.07297,           0.0029703,           0.0029703
                  31,            0.060538,            0.030459,                   0,             0.59334,             0.76471,             0.79625,             0.35949,            0.061408,            0.015899,                   0,            0.072068,           0.0030683,           0.0030683
                  32,            0.059092,            0.045306,                   0,             0.71626,             0.82353,             0.83405,             0.48244,             0.05913,            0.015687,                   0,            0.071166,           0.0031662,           0.0031662
                  33,            0.056418,            0.034466,                   0,             0.57522,             0.71734,             0.72978,             0.32945,            0.055795,            0.016175,                   0,            0.070264,           0.0032641,           0.0032641
                  34,            0.057421,            0.034299,                   0,             0.69615,             0.82353,             0.82684,              0.5259,            0.057445,            0.015539,                   0,            0.069362,           0.0033619,           0.0033619
